id,name,address,build_year,type,jeonsae,monthly_deposit,monthly_pay,area,room_cnt,phone,lng,lat,registered_date
71,(유) 최,대전광역시 서구 개포가 (정순김마을),1993,아파트,409223,0,4867,129.92,2,+82 10-8630-6425,-115.426482,87.6302075,2020-12-18 03:12:16.716799
72,오김홍,인천광역시 양천구 개포로,1992,원룸,146690,3821,0,26.62,1,+82 10-1438-5416,-172.578696,-26.092165,2024-02-22 12:03:25.929652
73,박이장,경상북도 고양시 학동876길 (숙자한오마을),1961,아파트,0,21843,0,120.56,1,+82 10-6278-7547,-19.027233,40.3327495,2022-01-10 01:11:57.542637
74,유한회사 송,인천광역시 동구 역삼가 (도현김마을),1981,아파트,0,12395,789,35.97,7,+82 10-1265-1046,-145.504552,53.481758,2023-06-14 05:19:05.010170
75,윤이,울산광역시 금천구 논현5거리,1991,아파트,34543,40348,0,75.46,1,+82 10-8536-6386,-144.549415,27.8519945,2021-11-18 23:40:09.841549
76,백백이,대구광역시 광진구 학동거리,2003,아파트,0,23140,2934,94.78,10,+82 10-5844-6592,125.355120,29.357714,2023-05-19 22:50:40.224643
77,김안,전라남도 안산시 백제고분37거리 (영숙박리),1962,원룸,0,0,0,39.82,3,+82 10-3563-1008,-17.023223,-22.101786,2023-04-29 06:21:45.242413
78,전권,광주광역시 남구 강남대로 (지아박강읍),2006,원룸,309469,39316,0,149.77,8,+82 10-9825-1184,109.202217,-10.844312,2021-01-11 08:43:09.429163
79,(주) 정,전라북도 논산시 강남대62가,1977,원룸,443674,7404,4747,99.74,10,+82 10-6632-7024,-43.971621,31.4573845,2021-04-07 09:56:36.048028
80,(주) 김이이,부산광역시 강남구 양재천41길,2016,아파트,0,0,4521,123.95,5,+82 10-3589-9012,-71.041095,-86.800648,2023-03-27 18:56:11.291090
81,(주) 이홍김,경기도 괴산군 개포거리,1983,원룸,455203,26130,3431,79.66,5,+82 10-2816-3846,-34.907779,36.9318485,2020-02-26 08:48:07.615786
82,김김,경상남도 청양군 서초중앙거리 (하윤박이읍),1960,아파트,0,0,1232,49.83,4,+82 10-3655-6231,-12.874276,-9.9813555,2024-02-22 05:27:40.433815
83,김김황,부산광역시 성동구 석촌호수42거리,1983,아파트,106621,5056,0,51.8,4,+82 10-0439-1730,115.249341,-52.887757,2020-01-09 12:40:39.640872
84,(주) 이박박,충청남도 가평군 백제고분1로 (영수이박면),1988,원룸,222608,9344,3559,138.62,10,+82 10-0679-1782,7.237928,-65.275863,2022-07-29 09:47:30.976538
85,(유) 최손박,경상북도 구리시 서초중앙63가,1965,아파트,0,0,0,126.66,2,+82 10-3279-0201,-91.398634,-65.3849345,2021-02-16 10:35:45.229896
86,주식회사 이,광주광역시 북구 양재천7로,2008,아파트,0,20947,382,95.81,7,+82 10-6627-3151,-32.786187,-13.8432655,2024-04-18 06:12:57.494711
87,주식회사 박,경상남도 포천시 석촌호수1길,1971,아파트,0,28088,0,73.75,5,+82 10-3247-7621,-19.814609,-65.9008845,2020-07-29 20:52:12.353797
88,주식회사 이남장,경상남도 청양군 학동448길 (숙자하마을),2020,원룸,200469,0,0,42.8,0,+82 10-2744-0607,78.095153,14.2695225,2024-02-04 10:45:48.717927
89,유한회사 김,제주특별자치도 성남시 중원구 테헤란53로,1980,아파트,0,44824,0,42.29,8,+82 10-2957-0853,-129.433858,56.5514515,2020-04-23 09:55:33.695213
90,김김고,광주광역시 성북구 압구정거리 (시우서마을),1988,원룸,74060,13094,0,48.61,8,+82 10-7727-1831,75.180877,10.6435585,2022-01-24 02:41:27.040713
91,서김,인천광역시 영등포구 역삼거리 (영길김윤동),2020,아파트,86520,8838,4580,20.39,10,+82 10-1816-4017,157.981307,-57.310442,2021-06-07 22:57:23.789598
92,유한회사 김,인천광역시 용산구 백제고분99로,2019,원룸,169420,0,0,73.92,1,+82 10-6197-3050,135.974271,-56.709987,2022-03-14 02:44:10.299277
93,김류최,전라북도 영월군 삼성627가 (영미강문마을),2008,아파트,261870,7300,0,87.6,8,+82 10-2702-2464,-96.393793,-63.536206,2022-08-23 11:03:10.842389
94,(유) 이,경상남도 청주시 청원구 도산대로 (미경이마을),1990,아파트,0,0,0,137.06,3,+82 10-8442-9540,-118.059109,18.204425,2022-05-06 05:34:28.864293
95,이허이,충청북도 성남시 분당구 역삼6가 (예진김김리),2006,원룸,0,0,0,94.25,0,+82 10-4107-0113,72.420572,34.659608,2022-04-20 12:30:55.958347
96,(유) 김심서,서울특별시 용산구 백제고분9가,1991,원룸,497507,0,1396,70.28,7,+82 10-7129-7105,-57.456023,-78.7719485,2023-07-22 12:14:23.397808
97,(유) 장문박,제주특별자치도 여주시 양재천가,2017,원룸,265345,0,0,63.53,6,+82 10-3561-9362,-64.814682,-60.879048,2022-08-04 17:20:13.890099
98,강서권,전라남도 단양군 양재천5거리,2014,원룸,47809,0,0,76.08,1,+82 10-7863-2070,-5.865803,-69.271417,2022-03-22 04:25:35.602791
99,이윤,세종특별자치시 북구 논현7가 (은정김읍),1966,원룸,461407,0,874,23.22,10,+82 10-2711-2445,-132.615062,-36.2753165,2023-08-27 14:29:31.668690
100,(주) 김,제주특별자치도 구리시 백제고분가 (진호박리),1961,원룸,103513,4340,0,75.71,9,+82 10-7249-5639,-179.106715,42.0505145,2022-09-25 16:31:32.356599
101,유한회사 이윤강,충청북도 동두천시 강남대796가,2017,아파트,216182,17678,1934,39.27,8,+82 10-4668-3342,18.840477,28.5688165,2022-05-31 22:43:22.677489
102,주식회사 이,경기도 부천시 소사구 압구정614거리,1960,원룸,177215,0,0,128.12,7,+82 10-9795-5348,16.107120,11.028489,2020-11-12 12:32:58.569290
103,주식회사 김,대전광역시 종로구 서초대거리 (경숙신김면),1964,원룸,0,32892,0,51.92,6,+82 10-9951-1785,-97.756421,-39.623144,2021-08-01 13:03:31.138097
104,유한회사 이김고,세종특별자치시 서구 가락거리,2006,원룸,0,45938,1444,84.72,10,+82 10-2409-8459,-49.677773,26.015613,2020-07-27 05:13:12.311164
105,고강,광주광역시 서대문구 반포대거리,2022,원룸,482515,25032,4120,131.14,9,+82 10-4905-1599,-78.271821,85.4513995,2021-05-16 10:18:55.976424
106,유한회사 박,경상남도 충주시 강남대로 (영식윤김면),2020,아파트,0,0,4044,99.8,6,+82 10-2535-0393,7.418925,58.154653,2020-09-05 15:49:44.432401
107,김박김,대전광역시 성북구 오금거리 (은지김동),1993,원룸,0,0,0,103.19,3,+82 10-3718-2375,-116.931166,-71.9322155,2021-09-11 22:23:32.993995
108,박김,경상남도 안성시 봉은사521거리 (영진곽오리),2005,아파트,129031,36805,0,71.38,6,+82 10-9627-5133,-108.877273,70.7644145,2022-09-27 13:26:26.125225
109,유한회사 오,전라남도 남양주시 학동61길,1988,아파트,0,0,0,121.9,8,+82 10-5266-6343,-167.485229,-83.9463135,2021-04-12 03:51:50.465246
110,(주) 오,인천광역시 노원구 서초대로 (옥자고박읍),1973,아파트,428109,0,0,35.48,2,+82 10-5681-4323,-83.206619,46.2735025,2023-05-02 05:11:29.994639
111,유한회사 최강김,부산광역시 동작구 삼성거리 (지민윤박동),2005,원룸,427422,30728,0,116.78,1,+82 10-3957-2583,120.106939,49.2150885,2020-10-19 21:57:32.131204
112,성윤,전라남도 서산시 역삼1거리,2000,원룸,0,0,0,75.54,5,+82 10-0535-0362,140.897377,-16.5698435,2021-10-18 04:49:56.435043
113,주식회사 김,강원도 강릉시 서초중앙822길 (동현이이동),1991,아파트,0,6360,0,129.02,6,+82 10-6462-8465,-65.206006,-52.260131,2022-07-26 18:41:28.201891
114,노김박,대전광역시 용산구 영동대705거리,1992,아파트,0,0,0,90.6,5,+82 10-5996-2657,46.701834,75.073991,2022-04-12 09:31:10.715902
115,김한,경상남도 성남시 분당구 테헤란80거리,2005,아파트,458973,27641,0,79.7,6,+82 10-5352-5843,-45.743719,-30.594000,2023-06-21 10:56:13.595024
116,양장박,대구광역시 마포구 선릉01거리,1983,원룸,307620,0,2557,119.48,8,+82 10-4861-3894,174.660841,82.194948,2020-10-04 11:30:08.096912
117,(주) 박서김,강원도 금산군 반포대049가 (영순이박면),1983,아파트,0,0,1487,37.27,6,+82 10-0418-5966,90.985407,66.755641,2020-01-25 00:26:01.417467
118,유한회사 류,충청남도 양양군 개포가 (정순진읍),1966,원룸,35498,1272,1851,23.82,8,+82 10-4466-5646,-128.158151,86.0203185,2020-06-12 07:51:41.061865
119,유한회사 윤박이,경기도 강릉시 잠실로,1962,원룸,0,28233,0,126.67,0,+82 10-0873-1240,152.816919,-43.9285675,2023-07-09 07:32:48.861010
120,(주) 송박박,울산광역시 동대문구 서초대거리,1963,아파트,469286,0,0,98.26,8,+82 10-7994-7323,124.075444,-70.044866,2023-09-17 09:48:29.323655
121,(유) 김,제주특별자치도 서천군 서초중앙거리 (지원이박리),2008,원룸,0,34517,3446,48.35,9,+82 10-8367-7076,-143.701387,25.4039505,2023-07-02 21:30:52.773133
122,오김김,경상남도 철원군 삼성거리 (상호황마을),1992,원룸,192193,0,1266,130.89,7,+82 10-1706-7556,-108.032646,-18.942697,2022-06-02 21:14:07.078186
123,(유) 김박남,세종특별자치시 노원구 양재천거리 (영길강고리),1998,원룸,295933,0,439,76.01,1,+82 10-5075-2588,-142.506203,-45.8433975,2023-01-06 17:15:08.322983
124,주식회사 이,인천광역시 은평구 잠실가,2002,원룸,0,0,0,82.76,8,+82 10-7298-4967,157.493129,38.6661745,2023-03-05 16:53:08.886114
125,김김박,충청남도 천안시 동남구 봉은사24길 (병철이리),2003,아파트,0,0,0,115.9,6,+82 10-3170-6283,-91.183604,32.1357715,2021-07-12 19:15:54.657350
126,유한회사 안,대전광역시 용산구 석촌호수47거리 (은영김마을),2008,아파트,0,46380,804,87.18,1,+82 10-9105-2698,-29.714969,56.6401905,2023-04-12 20:23:24.276287
127,민조,서울특별시 마포구 선릉가,1981,원룸,0,0,154,84.0,5,+82 10-0768-2147,173.599762,-38.4371995,2023-08-25 07:05:46.039660
128,김김,전라북도 아산시 학동로 (현지박읍),2011,아파트,0,0,2115,88.08,6,+82 10-0653-3194,-102.436965,75.914228,2021-01-27 10:38:54.002001
129,(주) 이,서울특별시 성동구 언주4가 (정자최동),1961,원룸,225608,36515,0,26.17,6,+82 10-7105-7558,121.614128,-39.7182045,2021-01-07 05:47:32.301413
130,박진,전라남도 청주시 흥덕구 양재천로,1966,아파트,0,0,0,99.39,8,+82 10-2943-0129,53.000967,-87.9755095,2020-02-22 22:03:12.188425
131,지김안,인천광역시 용산구 봉은사8로,1961,원룸,396219,0,146,60.58,5,+82 10-6053-3056,-31.041631,27.187849,2023-11-21 14:30:30.570510
132,주식회사 최,전라북도 부천시 원미구 석촌호수399길,1999,아파트,235016,0,882,26.45,3,+82 10-5469-2530,99.615466,54.365904,2022-12-08 22:42:36.038340
133,(주) 김이김,서울특별시 서대문구 논현거리 (수진최김읍),1991,아파트,338523,23879,1521,52.53,6,+82 10-8100-3246,41.695675,21.796715,2022-05-25 07:00:49.555107
134,주식회사 강,전라남도 청주시 서원구 도산대9가 (하윤임권읍),2015,원룸,0,0,1460,100.23,3,+82 10-5258-9542,-122.685818,-26.7068515,2021-12-05 02:48:59.386734
135,강이최,대구광역시 은평구 강남대길 (유진서동),1997,아파트,0,13262,1839,41.25,4,+82 10-2275-9771,67.508633,63.573375,2020-01-22 17:57:43.746426
136,김손,전라남도 안산시 단원구 선릉5길,1982,원룸,363133,48410,0,148.02,1,+82 10-1443-4409,157.031860,75.663490,2020-03-10 08:29:00.562783
137,서박,경상남도 괴산군 봉은사747거리 (서연박이리),2002,아파트,0,0,4275,30.71,1,+82 10-9125-9137,-100.420064,20.0968335,2022-07-14 17:56:07.580907
138,안배장,경상남도 증평군 선릉로 (성훈강동),2000,아파트,154716,0,0,123.94,1,+82 10-9072-3663,144.149444,16.763907,2020-05-10 06:37:32.234738
139,이김김,충청북도 부천시 소사구 가락로,2009,원룸,0,40173,0,53.8,4,+82 10-9048-5608,-56.130729,1.2683035,2021-03-06 04:18:08.226912
140,(유) 김,대구광역시 종로구 삼성가 (지원이리),1967,아파트,148799,0,0,102.46,3,+82 10-8831-4320,64.102365,-53.910176,2022-12-07 20:56:45.400168
141,장이박,전라북도 보령시 백제고분가,2009,아파트,0,0,0,64.49,3,+82 10-4145-0225,-177.711557,46.7404975,2020-05-26 08:30:47.045611
142,(주) 김,제주특별자치도 철원군 봉은사8길 (영진김노리),2012,아파트,140328,30485,0,69.7,0,+82 10-3338-8613,-93.312762,4.0161835,2020-05-19 10:30:16.118162
143,이이,경기도 양구군 논현2가 (윤서김면),2005,원룸,0,0,1417,117.49,0,+82 10-7990-6034,-79.497513,79.7023485,2022-02-25 23:02:40.954262
144,송정엄,강원도 고양시 역삼가 (정희한동),2018,원룸,299681,20704,0,28.01,5,+82 10-5639-1439,-44.176916,-42.692462,2024-05-05 20:47:29.840143
145,이고,울산광역시 남구 서초대로,1995,아파트,0,27907,0,63.49,6,+82 10-5204-6456,53.889927,79.8603945,2023-10-21 14:16:25.565620
146,(주) 김이김,부산광역시 동작구 오금거리 (미영서박동),2004,아파트,169978,0,4272,68.83,6,+82 10-8992-6264,10.763937,0.648732,2021-02-07 17:24:10.831899
147,주식회사 박우김,부산광역시 양천구 개포가 (지현김동),1998,아파트,0,0,0,43.22,6,+82 10-2519-4568,113.686035,24.1340995,2020-07-09 01:44:23.959302
148,유한회사 황,경상북도 공주시 개포2길,1976,원룸,0,2548,0,97.06,10,+82 10-5469-4239,174.890848,76.1773795,2020-10-06 05:52:35.135400
149,(주) 민윤이,대구광역시 서초구 학동6길 (미경김마을),2003,아파트,250008,92,0,36.45,9,+82 10-3285-5523,-74.172315,-6.358733,2022-12-29 00:24:06.347017
150,유한회사 김,부산광역시 서초구 역삼34가 (하은나읍),1978,아파트,0,0,0,51.22,10,+82 10-3898-9048,140.588258,70.904369,2021-06-19 08:34:55.803725
151,곽김문,전라북도 홍성군 오금길,1966,아파트,0,0,0,62.86,2,+82 10-0933-3001,-166.781009,-22.716307,2020-06-20 02:53:22.755747
152,(주) 이양이,전라남도 정선군 잠실0거리,2020,원룸,0,0,2159,16.48,1,+82 10-0960-9861,97.709287,73.9851145,2021-05-21 17:18:04.048753
153,한김오,충청북도 수원시 영통구 선릉11거리,1982,원룸,0,0,0,135.26,9,+82 10-7780-0338,119.865710,47.619439,2022-05-20 14:08:27.806391
154,김장류,대전광역시 북구 가락가 (하은강박마을),2009,원룸,484376,33837,2976,118.63,2,+82 10-5674-6667,163.921848,-67.9299015,2023-02-05 18:20:23.769630
155,이김,강원도 가평군 학동길 (성민구마을),1996,아파트,0,0,4711,52.47,2,+82 10-8483-6543,96.251221,72.907288,2024-01-24 09:41:34.771125
156,배이최,대구광역시 성북구 선릉로 (병철김김마을),2006,아파트,150821,0,2887,119.18,0,+82 10-2107-7876,-170.523043,4.491583,2023-10-18 06:21:05.880231
157,백손홍,충청북도 부천시 오금373길 (준서황읍),1979,원룸,497110,0,0,27.12,2,+82 10-2197-0665,140.422147,56.181967,2024-04-29 12:51:59.569857
158,김나성,충청남도 양주시 강남대가,2008,아파트,0,13520,3593,36.32,2,+82 10-4062-3485,-49.620567,-13.114067,2021-01-23 12:16:22.669146
159,유한회사 김이권,충청남도 고양시 덕양구 가락로 (수진최김읍),2022,아파트,172644,0,0,41.68,9,+82 10-8729-8454,117.942399,16.026981,2023-09-13 19:05:38.777503
160,한김황,강원도 가평군 학동거리,1980,아파트,0,0,253,80.25,4,+82 10-7988-7551,75.246057,50.456918,2024-01-09 11:26:32.355078
